Commodity,Date,Unit,Minimum,Maximum,Average
Onion Green,2018-12-12,Kg,35.0,40.0,37.5
Tomato Big(Nepali),2018-12-13,Kg,45.0,50.0,47.5
Tomato Small(Local),2018-12-13,Kg,15.0,25.0,20.0
Potato Red,2018-12-13,Kg,40.0,45.0,42.5
Potato White,2018-12-13,Kg,38.0,40.0,39.0
Onion Dry (Indian),2018-12-13,Kg,28.0,30.0,29.0
Onion Green,2018-12-13,Kg,35.0,40.0,37.5
Tomato Big(Nepali),2018-12-14,Kg,45.0,50.0,47.5
Tomato Small(Local),2018-12-14,Kg,20.0,25.0,22.5
Potato Red,2018-12-14,Kg,40.0,45.0,42.5
Potato White,2018-12-14,Kg,38.0,40.0,39.0
Onion Dry (Indian),2018-12-14,Kg,27.0,30.0,28.5
Onion Green,2018-12-14,Kg,40.0,50.0,45.0
Tomato Big(Nepali),2018-12-15,Kg,45.0,50.0,47.5
Tomato Small(Local),2018-12-15,Kg,20.0,25.0,22.5
Potato Red,2018-12-15,Kg,40.0,45.0,42.5
Potato White,2018-12-15,Kg,38.0,40.0,39.0
Onion Dry (Indian),2018-12-15,Kg,27.0,30.0,28.5
Onion Green,2018-12-15,Kg,40.0,50.0,45.0
Tomato Big(Nepali),2018-12-16,Kg,50.0,55.0,52.5
Tomato Small(Local),2018-12-16,Kg,20.0,25.0,22.5
Potato Red,2018-12-16,Kg,40.0,45.0,42.5
Potato White,2018-12-16,Kg,35.0,40.0,37.5
Onion Dry (Indian),2018-12-16,Kg,28.0,30.0,29.0
Onion Green,2018-12-16,Kg,40.0,50.0,45.0
Tomato Big(Nepali),2018-12-17,Kg,50.0,55.0,52.5
Tomato Small(Local),2018-12-17,Kg,18.0,25.0,21.5
Potato Red,2018-12-17,Kg,40.0,45.0,42.5
Potato White,2018-12-17,Kg,35.0,40.0,37.5
Onion Dry (Indian),2018-12-17,Kg,27.0,29.0,28.0
Onion Green,2018-12-17,Kg,40.0,50.0,45.0
Tomato Big(Nepali),2018-12-18,Kg,45.0,50.0,47.5
Tomato Small(Local),2018-12-18,Kg,15.0,25.0,20.0
Potato Red,2018-12-18,Kg,38.0,40.0,39.0
Potato White,2018-12-18,Kg,33.0,35.0,34.0
Onion Dry (Indian),2018-12-18,Kg,27.0,29.0,28.0
Onion Green,2018-12-18,Kg,40.0,45.0,42.5
Tomato Big(Nepali),2018-12-19,Kg,45.0,50.0,47.5
Tomato Small(Local),2018-12-19,Kg,15.0,20.0,17.5
Potato Red,2018-12-19,Kg,35.0,38.0,36.5
Potato White,2018-12-19,Kg,30.0,35.0,32.5
Onion Dry (Indian),2018-12-19,Kg,27.0,29.0,28.0
Onion Green,2018-12-19,Kg,40.0,50.0,45.0
Tomato Big(Nepali),2018-12-20,Kg,45.0,50.0,47.5
Tomato Small(Local),2018-12-20,Kg,15.0,20.0,17.5
Potato Red,2018-12-20,Kg,35.0,38.0,36.5
Potato White,2018-12-20,Kg,30.0,35.0,32.5
Onion Dry (Indian),2018-12-20,Kg,27.0,29.0,28.0
Onion Green,2018-12-20,Kg,40.0,50.0,45.0
Tomato Big(Nepali),2018-12-21,Kg,35.0,40.0,37.5
Tomato Small(Local),2018-12-21,Kg,10.0,20.0,15.0
Potato Red,2018-12-21,Kg,35.0,37.0,36.0
Potato White,2018-12-21,Kg,30.0,35.0,32.5
Onion Dry (Indian),2018-12-21,Kg,26.0,28.0,27.0
Onion Green,2018-12-21,Kg,40.0,50.0,45.0
Tomato Big(Nepali),2018-12-22,Kg,35.0,40.0,37.5
Tomato Small(Local),2018-12-22,Kg,18.0,22.0,20.0
Potato Red,2018-12-22,Kg,35.0,38.0,36.5
Potato White,2018-12-22,Kg,30.0,35.0,32.5
Onion Dry (Indian),2018-12-22,Kg,26.0,28.0,27.0
Onion Green,2018-12-22,Kg,40.0,50.0,45.0
Tomato Big(Nepali),2018-12-23,Kg,35.0,40.0,37.5
Tomato Small(Local),2018-12-23,Kg,15.0,20.0,17.5
Potato Red,2018-12-23,Kg,35.0,37.0,36.0
Potato White,2018-12-23,Kg,30.0,32.0,31.0
Onion Dry (Indian),2018-12-23,Kg,26.0,28.0,27.0
Onion Green,2018-12-23,Kg,50.0,60.0,55.0
Tomato Big(Nepali),2018-12-24,Kg,40.0,45.0,42.5
Tomato Small(Local),2018-12-24,Kg,15.0,20.0,17.5
Potato Red,2018-12-24,Kg,30.0,35.0,32.5
Potato White,2018-12-24,Kg,28.0,30.0,29.0
Onion Dry (Indian),2018-12-24,Kg,25.0,27.0,26.0
Onion Green,2018-12-24,Kg,50.0,60.0,55.0
Tomato Big(Nepali),2018-12-25,Kg,40.0,45.0,42.5
Tomato Small(Local),2018-12-25,Kg,18.0,22.0,20.0
Potato Red,2018-12-25,Kg,30.0,35.0,32.5
Potato White,2018-12-25,Kg,28.0,30.0,29.0
Onion Dry (Indian),2018-12-25,Kg,25.0,27.0,26.0
Onion Green,2018-12-25,Kg,50.0,60.0,55.0
Tomato Big(Nepali),2018-12-26,Kg,40.0,45.0,42.5
Tomato Small(Local),2018-12-26,Kg,15.0,20.0,17.5
Potato Red,2018-12-26,Kg,30.0,35.0,32.5
Potato White,2018-12-26,Kg,27.0,30.0,28.5
Onion Dry (Indian),2018-12-26,Kg,25.0,27.0,26.0
Onion Green,2018-12-26,Kg,50.0,60.0,55.0
Tomato Big(Nepali),2018-12-27,Kg,40.0,45.0,42.5
Tomato Small(Local),2018-12-27,Kg,15.0,20.0,17.5
Potato Red,2018-12-27,Kg,30.0,35.0,32.5
Potato White,2018-12-27,Kg,28.0,30.0,29.0
Onion Dry (Indian),2018-12-27,Kg,25.0,27.0,26.0
Onion Green,2018-12-27,Kg,50.0,60.0,55.0
Tomato Big(Nepali),2018-12-28,Kg,40.0,45.0,42.5
Tomato Small(Local),2018-12-28,Kg,15.0,20.0,17.5
Potato Red,2018-12-28,Kg,28.0,32.0,30.0
Potato White,2018-12-28,Kg,23.0,25.0,24.0
Onion Dry (Indian),2018-12-28,Kg,24.0,26.0,25.0
Onion Green,2018-12-28,Kg,50.0,60.0,55.0
Tomato Big(Nepali),2018-12-29,Kg,45.0,50.0,47.5
Tomato Small(Local),2018-12-29,Kg,15.0,20.0,17.5
Potato Red,2018-12-29,Kg,24.0,28.0,26.0
Potato White,2018-12-29,Kg,20.0,22.0,21.0
Onion Dry (Indian),2018-12-29,Kg,55.0,60.0,57.5
Onion Green,2018-12-29,Kg,50.0,60.0,55.0
Tomato Big(Nepali),2018-12-30,Kg,45.0,50.0,47.5
Tomato Small(Local),2018-12-30,Kg,15.0,20.0,17.5
Potato Red,2018-12-30,Kg,28.0,32.0,30.0
Potato White,2018-12-30,Kg,23.0,25.0,24.0
Onion Dry (Indian),2018-12-30,Kg,24.0,26.0,25.0
Onion Green,2018-12-30,Kg,45.0,50.0,47.5
Tomato Big(Nepali),2018-12-31,Kg,40.0,45.0,42.5
Tomato Small(Local),2018-12-31,Kg,20.0,30.0,25.0
Potato Red,2018-12-31,Kg,28.0,32.0,30.0
Potato White,2018-12-31,Kg,20.0,25.0,22.5
Onion Dry (Indian),2018-12-31,Kg,24.0,26.0,25.0
Onion Green,2018-12-31,Kg,50.0,60.0,55.0
Tomato Big(Nepali),2019-01-01,Kg,45.0,50.0,47.5
Tomato Small(Local),2019-01-01,Kg,20.0,25.0,22.5
Potato Red,2019-01-01,Kg,30.0,34.0,32.0
Potato White,2019-01-01,Kg,20.0,25.0,22.5
Onion Dry (Indian),2019-01-01,Kg,26.0,28.0,27.0
Onion Green,2019-01-01,Kg,50.0,60.0,55.0
Tomato Big(Nepali),2019-01-02,Kg,45.0,50.0,47.5
Tomato Small(Local),2019-01-02,Kg,20.0,25.0,22.5
Potato Red,2019-01-02,Kg,30.0,34.0,32.0
Potato White,2019-01-02,Kg,20.0,25.0,22.5
Onion Dry (Indian),2019-01-02,Kg,26.0,28.0,27.0
Onion Green,2019-01-02,Kg,45.0,50.0,47.5
Tomato Big(Nepali),2019-01-03,Kg,50.0,55.0,52.5
Tomato Small(Local),2019-01-03,Kg,20.0,25.0,22.5
Potato Red,2019-01-03,Kg,30.0,34.0,32.0
Potato White,2019-01-03,Kg,23.0,25.0,24.0
Onion Dry (Indian),2019-01-03,Kg,27.0,29.0,28.0
Onion Green,2019-01-03,Kg,50.0,60.0,55.0
Tomato Big(Nepali),2019-01-04,Kg,55.0,60.0,57.5
Tomato Small(Local),2019-01-04,Kg,20.0,25.0,22.5
Potato Red,2019-01-04,Kg,30.0,35.0,32.5
Potato White,2019-01-04,Kg,23.0,25.0,24.0
Onion Dry (Indian),2019-01-04,Kg,27.0,29.0,28.0
Onion Green,2019-01-04,Kg,45.0,50.0,47.5
Tomato Big(Nepali),2019-01-05,Kg,55.0,60.0,57.5
Tomato Small(Local),2019-01-05,Kg,22.0,28.0,25.0
Potato Red,2019-01-05,Kg,30.0,35.0,32.5
Potato White,2019-01-05,Kg,23.0,25.0,24.0
Onion Dry (Indian),2019-01-05,Kg,27.0,29.0,28.0
Onion Green,2019-01-05,Kg,45.0,50.0,47.5
Tomato Big(Nepali),2019-01-06,Kg,65.0,70.0,67.5
Tomato Small(Local),2019-01-06,Kg,30.0,35.0,32.5
Potato Red,2019-01-06,Kg,30.0,35.0,32.5
Potato White,2019-01-06,Kg,25.0,27.0,26.0
Onion Dry (Indian),2019-01-06,Kg,27.0,29.0,28.0
Onion Green,2019-01-06,Kg,50.0,60.0,55.0
Tomato Big(Nepali),2019-01-07,Kg,60.0,65.0,62.5
Tomato Small(Local),2019-01-07,Kg,30.0,35.0,32.5
Potato Red,2019-01-07,Kg,30.0,35.0,32.5
Potato White,2019-01-07,Kg,25.0,27.0,26.0
Onion Dry (Indian),2019-01-07,Kg,27.0,29.0,28.0
Onion Green,2019-01-07,Kg,50.0,60.0,55.0
Tomato Big(Nepali),2019-01-08,Kg,60.0,65.0,62.5
Tomato Small(Local),2019-01-08,Kg,30.0,35.0,32.5
Potato Red,2019-01-08,Kg,30.0,35.0,32.5
Potato White,2019-01-08,Kg,26.0,28.0,27.0
Onion Dry (Indian),2019-01-08,Kg,27.0,29.0,28.0
Onion Green,2019-01-08,Kg,50.0,60.0,55.0
Tomato Big(Nepali),2019-01-09,Kg,65.0,70.0,67.5
Tomato Small(Local),2019-01-09,Kg,30.0,35.0,32.5
Potato Red,2019-01-09,Kg,30.0,35.0,32.5
Potato White,2019-01-09,Kg,26.0,28.0,27.0
Onion Dry (Indian),2019-01-09,Kg,26.0,28.0,27.0
Onion Green,2019-01-09,Kg,50.0,60.0,55.0
Tomato Big(Nepali),2019-01-10,Kg,65.0,70.0,67.5
Tomato Small(Local),2019-01-10,Kg,30.0,35.0,32.5
Potato Red,2019-01-10,Kg,30.0,35.0,32.5
Potato White,2019-01-10,Kg,26.0,28.0,27.0
Onion Dry (Indian),2019-01-10,Kg,26.0,28.0,27.0
Onion Green,2019-01-10,Kg,50.0,60.0,55.0
Tomato Big(Nepali),2019-01-11,Kg,55.0,60.0,57.5
Tomato Small(Local),2019-01-11,Kg,30.0,35.0,32.5
Potato Red,2019-01-11,Kg,30.0,35.0,32.5
Potato White,2019-01-11,Kg,25.0,28.0,26.5
Onion Dry (Indian),2019-01-11,Kg,26.0,28.0,27.0
Sweet Potato,2019-01-11,Kg,50.0,55.0,52.5
Onion Green,2019-01-11,Kg,40.0,50.0,45.0
Tomato Big(Nepali),2019-01-12,Kg,55.0,60.0,57.5
Tomato Small(Local),2019-01-12,Kg,28.0,30.0,29.0
Potato Red,2019-01-12,Kg,30.0,35.0,32.5
Potato White,2019-01-12,Kg,25.0,28.0,26.5
Onion Dry (Indian),2019-01-12,Kg,26.0,28.0,27.0
Sweet Potato,2019-01-12,Kg,50.0,55.0,52.5
Onion Green,2019-01-12,Kg,90.0,100.0,95.0
Tomato Big(Nepali),2019-01-13,Kg,55.0,60.0,57.5
Tomato Small(Local),2019-01-13,Kg,30.0,35.0,32.5
Potato Red,2019-01-13,Kg,28.0,30.0,29.0
Potato White,2019-01-13,Kg,23.0,25.0,24.0
Onion Dry (Indian),2019-01-13,Kg,26.0,28.0,27.0
Sweet Potato,2019-01-13,Kg,55.0,60.0,57.5
Onion Green,2019-01-13,Kg,50.0,60.0,55.0
Tomato Big(Nepali),2019-01-14,Kg,50.0,55.0,52.5
Tomato Small(Local),2019-01-14,Kg,20.0,30.0,25.0
Potato Red,2019-01-14,Kg,28.0,30.0,29.0
Potato White,2019-01-14,Kg,23.0,25.0,24.0
Onion Dry (Indian),2019-01-14,Kg,26.0,28.0,27.0
Sweet Potato,2019-01-14,Kg,35.0,40.0,37.5
Onion Green,2019-01-14,Kg,50.0,60.0,55.0
Tomato Big(Nepali),2019-01-15,Kg,50.0,55.0,52.5
Tomato Small(Local),2019-01-15,Kg,30.0,35.0,32.5
Potato Red,2019-01-15,Kg,28.0,30.0,29.0
Potato White,2019-01-15,Kg,23.0,25.0,24.0
Onion Dry (Indian),2019-01-15,Kg,25.0,27.0,26.0
Sweet Potato,2019-01-15,Kg,35.0,40.0,37.5
Onion Green,2019-01-15,Kg,50.0,60.0,55.0
Tomato Big(Nepali),2019-01-16,Kg,50.0,55.0,52.5
Tomato Small(Local),2019-01-16,Kg,25.0,30.0,27.5
Potato Red,2019-01-16,Kg,28.0,30.0,29.0
Potato White,2019-01-16,Kg,23.0,25.0,24.0
Onion Dry (Indian),2019-01-16,Kg,25.0,27.0,26.0
Sweet Potato,2019-01-16,Kg,35.0,40.0,37.5
Onion Green,2019-01-16,Kg,90.0,100.0,95.0
Tomato Big(Nepali),2019-01-17,Kg,50.0,55.0,52.5
Tomato Small(Local),2019-01-17,Kg,22.0,28.0,25.0
Potato Red,2019-01-17,Kg,28.0,30.0,29.0
Potato White,2019-01-17,Kg,23.0,25.0,24.0
Onion Dry (Indian),2019-01-17,Kg,24.0,26.0,25.0
Sweet Potato,2019-01-17,Kg,35.0,40.0,37.5
Onion Green,2019-01-17,Kg,60.0,75.0,67.5
Tomato Big(Nepali),2019-01-18,Kg,50.0,55.0,52.5
Tomato Small(Local),2019-01-18,Kg,25.0,30.0,27.5
Potato Red,2019-01-18,Kg,28.0,30.0,29.0
Potato White,2019-01-18,Kg,23.0,25.0,24.0
Onion Dry (Indian),2019-01-18,Kg,24.0,26.0,25.0
Sweet Potato,2019-01-18,Kg,35.0,40.0,37.5
Onion Green,2019-01-18,Kg,60.0,70.0,65.0
Tomato Big(Nepali),2019-01-19,Kg,50.0,55.0,52.5
Tomato Small(Local),2019-01-19,Kg,20.0,25.0,22.5
Potato Red,2019-01-19,Kg,28.0,30.0,29.0
Potato White,2019-01-19,Kg,23.0,25.0,24.0
Onion Dry (Indian),2019-01-19,Kg,24.0,26.0,25.0
Sweet Potato,2019-01-19,Kg,35.0,40.0,37.5
Onion Green,2019-01-19,Kg,60.0,70.0,65.0
Tomato Big(Nepali),2019-01-20,Kg,55.0,60.0,57.5
Tomato Small(Local),2019-01-20,Kg,20.0,25.0,22.5
Potato Red,2019-01-20,Kg,28.0,30.0,29.0
Potato White,2019-01-20,Kg,23.0,25.0,24.0
Onion Dry (Indian),2019-01-20,Kg,24.0,26.0,25.0
Sweet Potato,2019-01-20,Kg,35.0,40.0,37.5
Onion Green,2019-01-20,Kg,70.0,80.0,75.0
Tomato Big(Nepali),2019-01-21,Kg,55.0,60.0,57.5
Tomato Small(Local),2019-01-21,Kg,20.0,25.0,22.5
Potato Red,2019-01-21,Kg,28.0,30.0,29.0
Potato White,2019-01-21,Kg,23.0,25.0,24.0
Onion Dry (Indian),2019-01-21,Kg,23.0,25.0,24.0
Sweet Potato,2019-01-21,Kg,35.0,40.0,37.5
Onion Green,2019-01-21,Kg,50.0,60.0,55.0
Tomato Big(Nepali),2019-01-22,Kg,55.0,60.0,57.5
Tomato Small(Local),2019-01-22,Kg,20.0,25.0,22.5
Potato Red,2019-01-22,Kg,28.0,30.0,29.0
Potato White,2019-01-22,Kg,23.0,25.0,24.0
Onion Dry (Indian),2019-01-22,Kg,24.0,26.0,25.0
Onion Green,2019-01-22,Kg,60.0,70.0,65.0
Tomato Big(Nepali),2019-01-23,Kg,52.0,56.0,54.0
Tomato Small(Local),2019-01-23,Kg,18.0,22.0,20.0
Potato Red,2019-01-23,Kg,28.0,30.0,29.0
Potato White,2019-01-23,Kg,23.0,25.0,24.0
Onion Dry (Indian),2019-01-23,Kg,24.0,26.0,25.0
Onion Green,2019-01-23,Kg,60.0,70.0,65.0
Tomato Big(Nepali),2019-01-24,Kg,45.0,50.0,47.5
Tomato Small(Local),2019-01-24,Kg,15.0,20.0,17.5
Potato Red,2019-01-24,Kg,28.0,30.0,29.0
Potato White,2019-01-24,Kg,24.0,26.0,25.0
Onion Dry (Indian),2019-01-24,Kg,23.0,25.0,24.0
Onion Green,2019-01-24,Kg,50.0,60.0,55.0
Tomato Big(Nepali),2019-01-25,Kg,45.0,50.0,47.5
Tomato Small(Local),2019-01-25,Kg,15.0,20.0,17.5
Potato Red,2019-01-25,Kg,28.0,30.0,29.0
Potato White,2019-01-25,Kg,23.0,25.0,24.0
Onion Dry (Indian),2019-01-25,Kg,23.0,25.0,24.0
Onion Green,2019-01-25,Kg,50.0,60.0,55.0
Tomato Big(Nepali),2019-01-26,Kg,44.0,50.0,47.0
Tomato Small(Local),2019-01-26,Kg,18.0,24.0,21.0
Potato Red,2019-01-26,Kg,27.0,30.0,28.5
Potato White,2019-01-26,Kg,23.0,25.0,24.0
Onion Dry (Indian),2019-01-26,Kg,23.0,25.0,24.0
Onion Green,2019-01-26,Kg,50.0,60.0,55.0
Tomato Big(Nepali),2019-01-27,Kg,50.0,55.0,52.5
Tomato Small(Local),2019-01-27,Kg,15.0,20.0,17.5
Potato Red,2019-01-27,Kg,28.0,30.0,29.0
Potato White,2019-01-27,Kg,23.0,25.0,24.0
Onion Dry (Indian),2019-01-27,Kg,23.0,25.0,24.0
Onion Green,2019-01-27,Kg,50.0,60.0,55.0
Tomato Big(Nepali),2019-01-28,Kg,45.0,50.0,47.5
Tomato Small(Local),2019-01-28,Kg,15.0,20.0,17.5
Potato Red,2019-01-28,Kg,28.0,30.0,29.0
Potato White,2019-01-28,Kg,23.0,25.0,24.0
Onion Dry (Indian),2019-01-28,Kg,23.0,25.0,24.0
Onion Green,2019-01-28,Kg,50.0,60.0,55.0
Tomato Big(Nepali),2019-01-29,Kg,40.0,45.0,42.5
Tomato Small(Local),2019-01-29,Kg,20.0,25.0,22.5
Potato Red,2019-01-29,Kg,24.0,26.0,25.0
Potato White,2019-01-29,Kg,20.0,22.0,21.0
Onion Dry (Indian),2019-01-29,Kg,23.0,25.0,24.0
Onion Green,2019-01-29,Kg,60.0,65.0,62.5
Tomato Big(Nepali),2019-01-30,Kg,40.0,45.0,42.5
Tomato Small(Local),2019-01-30,Kg,20.0,25.0,22.5
Potato Red,2019-01-30,Kg,23.0,25.0,24.0
Potato White,2019-01-30,Kg,20.0,22.0,21.0
Onion Dry (Indian),2019-01-30,Kg,23.0,25.0,24.0
Onion Green,2019-01-30,Kg,50.0,60.0,55.0
Tomato Big(Nepali),2019-01-31,Kg,40.0,45.0,42.5
Tomato Small(Local),2019-01-31,Kg,20.0,25.0,22.5
Potato Red,2019-01-31,Kg,23.0,25.0,24.0
Potato White,2019-01-31,Kg,20.0,22.0,21.0
Onion Dry (Indian),2019-01-31,Kg,22.0,24.0,23.0
Onion Green,2019-01-31,Kg,50.0,60.0,55.0
Tomato Big(Nepali),2019-02-01,Kg,40.0,45.0,42.5
Tomato Small(Local),2019-02-01,Kg,20.0,25.0,22.5
Potato Red,2019-02-01,Kg,23.0,25.0,24.0
Potato White,2019-02-01,Kg,20.0,22.0,21.0
Onion Dry (Indian),2019-02-01,Kg,22.0,24.0,23.0
Onion Green,2019-02-01,Kg,35.0,40.0,37.5
Tomato Big(Nepali),2019-02-02,Kg,40.0,45.0,42.5
Tomato Small(Local),2019-02-02,Kg,20.0,25.0,22.5
Potato Red,2019-02-02,Kg,20.0,24.0,22.0
Potato White,2019-02-02,Kg,18.0,20.0,19.0
Onion Dry (Indian),2019-02-02,Kg,22.0,24.0,23.0
Onion Green,2019-02-02,Kg,30.0,35.0,32.5
Tomato Big(Nepali),2019-02-03,Kg,40.0,45.0,42.5
Tomato Small(Local),2019-02-03,Kg,15.0,20.0,17.5
Potato Red,2019-02-03,Kg,20.0,23.0,21.5
Potato White,2019-02-03,Kg,18.0,20.0,19.0
Onion Dry (Indian),2019-02-03,Kg,22.0,24.0,23.0
Onion Green,2019-02-03,Kg,40.0,50.0,45.0
Tomato Big(Nepali),2019-02-04,Kg,40.0,45.0,42.5
Tomato Small(Local),2019-02-04,Kg,15.0,20.0,17.5
Potato Red,2019-02-04,Kg,22.0,24.0,23.0
Potato White,2019-02-04,Kg,18.0,20.0,19.0
Onion Dry (Indian),2019-02-04,Kg,22.0,24.0,23.0
Onion Green,2019-02-04,Kg,40.0,50.0,45.0
Tomato Big(Nepali),2019-02-05,Kg,40.0,45.0,42.5
Tomato Small(Local),2019-02-05,Kg,15.0,20.0,17.5
Potato Red,2019-02-05,Kg,21.0,23.0,22.0
Potato White,2019-02-05,Kg,18.0,20.0,19.0
Onion Dry (Indian),2019-02-05,Kg,21.0,23.0,22.0
Onion Green,2019-02-05,Kg,35.0,40.0,37.5
Tomato Big(Nepali),2019-02-06,Kg,40.0,45.0,42.5
Tomato Small(Local),2019-02-06,Kg,15.0,20.0,17.5
Potato Red,2019-02-06,Kg,21.0,23.0,22.0
Potato White,2019-02-06,Kg,18.0,20.0,19.0
Onion Dry (Indian),2019-02-06,Kg,21.0,23.0,22.0
Onion Green,2019-02-06,Kg,40.0,50.0,45.0
Tomato Big(Nepali),2019-02-07,Kg,40.0,45.0,42.5
Tomato Small(Local),2019-02-07,Kg,15.0,20.0,17.5
Potato Red,2019-02-07,Kg,21.0,23.0,22.0
Potato White,2019-02-07,Kg,18.0,20.0,19.0
Onion Dry (Indian),2019-02-07,Kg,21.0,23.0,22.0
Onion Green,2019-02-07,Kg,45.0,50.0,47.5
Tomato Big(Nepali),2019-02-08,Kg,40.0,45.0,42.5
Tomato Small(Local),2019-02-08,Kg,20.0,25.0,22.5
Potato Red,2019-02-08,Kg,22.0,24.0,23.0
Potato White,2019-02-08,Kg,18.0,20.0,19.0
Onion Dry (Indian),2019-02-08,Kg,21.0,23.0,22.0
Onion Green,2019-02-08,Kg,45.0,50.0,47.5
Tomato Big(Nepali),2019-02-09,Kg,45.0,50.0,47.5
Tomato Small(Local),2019-02-09,Kg,25.0,30.0,27.5
Potato Red,2019-02-09,Kg,22.0,24.0,23.0
Potato White,2019-02-09,Kg,18.0,20.0,19.0
Onion Dry (Indian),2019-02-09,Kg,21.0,23.0,22.0
Onion Green,2019-02-09,Kg,50.0,60.0,55.0
Tomato Big(Nepali),2019-02-10,Kg,65.0,70.0,67.5
Tomato Small(Local),2019-02-10,Kg,30.0,35.0,32.5
Potato Red,2019-02-10,Kg,21.0,23.0,22.0
Potato White,2019-02-10,Kg,18.0,20.0,19.0
Onion Dry (Indian),2019-02-10,Kg,21.0,23.0,22.0
Onion Green,2019-02-10,Kg,50.0,60.0,55.0
Tomato Small(Local),2019-02-11,Kg,35.0,40.0,37.5
Potato Red,2019-02-11,Kg,21.0,23.0,22.0
Potato White,2019-02-11,Kg,18.0,20.0,19.0
Onion Dry (Indian),2019-02-11,Kg,21.0,23.0,22.0
Onion Green,2019-02-11,Kg,50.0,60.0,55.0
Tomato Small(Local),2019-02-12,Kg,25.0,35.0,30.0
Potato Red,2019-02-12,Kg,21.0,23.0,22.0
Potato White,2019-02-12,Kg,18.0,20.0,19.0
Onion Dry (Indian),2019-02-12,Kg,21.0,23.0,22.0
Onion Green,2019-02-12,Kg,40.0,50.0,45.0
Tomato Small(Local),2019-02-13,Kg,20.0,25.0,22.5
Potato Red,2019-02-13,Kg,22.0,24.0,23.0
Potato White,2019-02-13,Kg,18.0,20.0,19.0
Onion Dry (Indian),2019-02-13,Kg,21.0,23.0,22.0
Onion Green,2019-02-13,Kg,40.0,45.0,42.5
Tomato Big(Nepali),2019-02-14,Kg,55.0,60.0,57.5
Tomato Small(Local),2019-02-14,Kg,20.0,25.0,22.5
Potato Red,2019-02-14,Kg,21.0,23.0,22.0
Potato White,2019-02-14,Kg,18.0,20.0,19.0
Onion Dry (Indian),2019-02-14,Kg,21.0,23.0,22.0
Onion Green,2019-02-14,Kg,35.0,40.0,37.5
Tomato Big(Nepali),2019-02-15,Kg,50.0,60.0,55.0
Tomato Small(Local),2019-02-15,Kg,25.0,30.0,27.5
Potato Red,2019-02-15,Kg,20.0,22.0,21.0
Potato White,2019-02-15,Kg,18.0,20.0,19.0
Onion Dry (Indian),2019-02-15,Kg,21.0,23.0,22.0
Onion Green,2019-02-15,Kg,35.0,40.0,37.5
Tomato Big(Nepali),2019-02-16,Kg,50.0,60.0,55.0
Tomato Small(Local),2019-02-16,Kg,25.0,30.0,27.5
Potato Red,2019-02-16,Kg,20.0,22.0,21.0
Potato White,2019-02-16,Kg,18.0,20.0,19.0
Onion Dry (Indian),2019-02-16,Kg,22.0,23.0,22.5
Onion Green,2019-02-16,Kg,35.0,40.0,37.5
Tomato Big(Nepali),2019-02-17,Kg,50.0,55.0,52.5
Tomato Small(Local),2019-02-17,Kg,20.0,25.0,22.5
Potato Red,2019-02-17,Kg,21.0,23.0,22.0
Potato White,2019-02-17,Kg,18.0,20.0,19.0
Onion Dry (Indian),2019-02-17,Kg,21.0,23.0,22.0
Onion Green,2019-02-17,Kg,40.0,50.0,45.0
Tomato Big(Nepali),2019-02-18,Kg,45.0,50.0,47.5
Tomato Small(Local),2019-02-18,Kg,20.0,25.0,22.5
Potato Red,2019-02-18,Kg,21.0,23.0,22.0
Potato White,2019-02-18,Kg,18.0,20.0,19.0
Onion Dry (Indian),2019-02-18,Kg,21.0,23.0,22.0
Onion Green,2019-02-18,Kg,40.0,50.0,45.0
Tomato Big(Nepali),2019-02-19,Kg,45.0,50.0,47.5
Tomato Small(Local),2019-02-19,Kg,23.0,30.0,26.5
Potato Red,2019-02-19,Kg,21.0,23.0,22.0
Potato White,2019-02-19,Kg,18.0,20.0,19.0
Onion Dry (Indian),2019-02-19,Kg,21.0,23.0,22.0
Onion Green,2019-02-19,Kg,35.0,40.0,37.5
Tomato Big(Nepali),2019-02-20,Kg,45.0,50.0,47.5
Tomato Small(Local),2019-02-20,Kg,25.0,30.0,27.5
Potato Red,2019-02-20,Kg,21.0,23.0,22.0
Potato White,2019-02-20,Kg,18.0,20.0,19.0
Onion Dry (Indian),2019-02-20,Kg,21.0,23.0,22.0
Onion Green,2019-02-20,Kg,35.0,40.0,37.5
Tomato Big(Nepali),2019-02-21,Kg,45.0,50.0,47.5
Tomato Small(Local),2019-02-21,Kg,30.0,35.0,32.5
Potato Red,2019-02-21,Kg,20.0,23.0,21.5
Potato White,2019-02-21,Kg,18.0,20.0,19.0
Onion Dry (Indian),2019-02-21,Kg,21.0,23.0,22.0
Onion Green,2019-02-21,Kg,35.0,40.0,37.5
Tomato Big(Nepali),2019-02-22,Kg,40.0,45.0,42.5
Tomato Small(Local),2019-02-22,Kg,30.0,35.0,32.5
Potato Red,2019-02-22,Kg,21.0,23.0,22.0
Potato White,2019-02-22,Kg,18.0,20.0,19.0
Onion Dry (Indian),2019-02-22,Kg,21.0,23.0,22.0
Onion Green,2019-02-22,Kg,35.0,40.0,37.5
Tomato Big(Nepali),2019-02-23,Kg,40.0,45.0,42.5
Tomato Small(Local),2019-02-23,Kg,30.0,35.0,32.5
Potato Red,2019-02-23,Kg,21.0,23.0,22.0
Potato White,2019-02-23,Kg,18.0,20.0,19.0
Onion Dry (Indian),2019-02-23,Kg,21.0,23.0,22.0
