Commodity,Date,Unit,Minimum,Maximum,Average
Potato White,2013-07-29,Kg,20.0,21.0,20.5
Onion Dry (Indian),2013-07-29,Kg,50.0,52.0,51.0
Onion Green,2013-07-29,Kg,30.0,35.0,32.5
Tomato Big(Nepali),2013-07-30,Kg,50.0,55.0,52.5
Tomato Small(Local),2013-07-30,Kg,38.0,42.0,40.0
Potato Red,2013-07-30,Kg,23.0,24.0,23.5
Potato White,2013-07-30,Kg,20.0,21.0,20.5
Onion Dry (Indian),2013-07-30,Kg,50.0,52.0,51.0
Onion Green,2013-07-30,Kg,30.0,35.0,32.5
Tomato Big(Nepali),2013-07-31,Kg,40.0,45.0,42.5
Tomato Small(Local),2013-07-31,Kg,35.0,40.0,37.5
Potato Red,2013-07-31,Kg,23.0,24.0,23.5
Potato White,2013-07-31,Kg,20.0,21.0,20.5
Onion Dry (Indian),2013-07-31,Kg,50.0,52.0,51.0
Onion Green,2013-07-31,Kg,30.0,35.0,32.5
Tomato Big(Nepali),2013-08-01,Kg,45.0,55.0,50.0
Tomato Small(Local),2013-08-01,Kg,34.0,38.0,36.0
Potato Red,2013-08-01,Kg,23.0,24.0,23.5
Potato White,2013-08-01,Kg,20.0,21.0,20.5
Onion Dry (Indian),2013-08-01,Kg,51.0,53.0,52.0
Onion Green,2013-08-01,Kg,30.0,35.0,32.5
Tomato Big(Nepali),2013-08-02,Kg,45.0,50.0,47.5
Tomato Small(Local),2013-08-02,Kg,25.0,35.0,30.0
Potato Red,2013-08-02,Kg,23.0,24.0,23.5
Potato White,2013-08-02,Kg,20.0,21.0,20.5
Onion Dry (Indian),2013-08-02,Kg,51.0,53.0,52.0
Onion Green,2013-08-02,Kg,30.0,35.0,32.5
Tomato Big(Nepali),2013-08-04,Kg,40.0,45.0,42.5
Tomato Small(Local),2013-08-04,Kg,25.0,30.0,27.5
Potato Red,2013-08-04,Kg,27.0,28.0,27.5
Potato White,2013-08-04,Kg,20.0,21.0,20.5
Onion Dry (Indian),2013-08-04,Kg,56.0,58.0,57.0
Onion Green,2013-08-04,Kg,30.0,35.0,32.5
Tomato Big(Nepali),2013-08-05,Kg,35.0,40.0,37.5
Tomato Small(Local),2013-08-05,Kg,25.0,30.0,27.5
Potato Red,2013-08-05,Kg,26.0,27.0,26.5
Potato White,2013-08-05,Kg,22.0,23.0,22.5
Onion Dry (Indian),2013-08-05,Kg,58.0,60.0,59.0
Onion Green,2013-08-05,Kg,30.0,35.0,32.5
Tomato Big(Nepali),2013-08-06,Kg,35.0,40.0,37.5
Tomato Small(Local),2013-08-06,Kg,28.0,34.0,31.0
Potato Red,2013-08-06,Kg,26.0,27.0,26.5
Potato White,2013-08-06,Kg,22.0,23.0,22.5
Onion Dry (Indian),2013-08-06,Kg,60.0,62.0,61.0
Onion Green,2013-08-06,Kg,40.0,45.0,42.5
Tomato Big(Nepali),2013-08-07,Kg,34.0,36.0,35.0
Tomato Small(Local),2013-08-07,Kg,25.0,30.0,27.5
Potato Red,2013-08-07,Kg,26.0,27.0,26.5
Potato White,2013-08-07,Kg,23.0,24.0,23.5
Onion Dry (Indian),2013-08-07,Kg,60.0,62.0,61.0
Onion Green,2013-08-07,Kg,45.0,50.0,47.5
Tomato Big(Nepali),2013-08-08,Kg,30.0,35.0,32.5
Tomato Small(Local),2013-08-08,Kg,20.0,25.0,22.5
Potato Red,2013-08-08,Kg,25.0,27.0,26.0
Potato White,2013-08-08,Kg,22.0,23.0,22.5
Onion Dry (Indian),2013-08-08,Kg,60.0,62.0,61.0
Onion Green,2013-08-08,Kg,45.0,50.0,47.5
Tomato Big(Nepali),2013-08-12,Kg,18.0,20.0,19.0
Tomato Small(Local),2013-08-12,Kg,24.0,28.0,26.0
Potato Red,2013-08-12,Kg,25.0,26.0,25.5
Potato White,2013-08-12,Kg,24.0,24.0,24.0
Onion Dry (Indian),2013-08-12,Kg,80.0,82.0,81.0
Onion Green,2013-08-12,Kg,70.0,72.0,71.0
Tomato Big(Nepali),2013-08-13,Kg,30.0,35.0,32.5
Tomato Small(Local),2013-08-13,Kg,25.0,30.0,27.5
Potato Red,2013-08-13,Kg,27.0,28.0,27.5
Potato White,2013-08-13,Kg,23.0,24.0,23.5
Onion Dry (Indian),2013-08-13,Kg,88.0,90.0,89.0
Onion Green,2013-08-13,Kg,45.0,50.0,47.5
Tomato Big(Nepali),2013-08-14,Kg,35.0,40.0,37.5
Tomato Small(Local),2013-08-14,Kg,25.0,30.0,27.5
Potato Red,2013-08-14,Kg,27.0,28.0,27.5
Potato White,2013-08-14,Kg,23.0,24.0,23.5
Onion Dry (Indian),2013-08-14,Kg,88.0,92.0,90.0
Onion Green,2013-08-14,Kg,50.0,55.0,52.5
Tomato Big(Nepali),2013-08-15,Kg,35.0,40.0,37.5
Tomato Small(Local),2013-08-15,Kg,25.0,32.0,28.5
Potato Red,2013-08-15,Kg,27.0,28.0,27.5
Potato White,2013-08-15,Kg,23.0,24.0,23.5
Onion Dry (Indian),2013-08-15,Kg,88.0,90.0,89.0
Onion Green,2013-08-15,Kg,55.0,60.0,57.5
Tomato Big(Nepali),2013-08-16,Kg,55.0,60.0,57.5
Tomato Small(Local),2013-08-16,Kg,35.0,40.0,37.5
Potato Red,2013-08-16,Kg,28.0,29.0,28.5
Potato White,2013-08-16,Kg,24.0,25.0,24.5
Onion Dry (Indian),2013-08-16,Kg,85.0,90.0,87.5
Onion Green,2013-08-16,Kg,55.0,60.0,57.5
Tomato Big(Nepali),2013-08-18,Kg,55.0,60.0,57.5
Tomato Small(Local),2013-08-18,Kg,30.0,35.0,32.5
Potato Red,2013-08-18,Kg,29.0,30.0,29.5
Potato White,2013-08-18,Kg,24.0,25.0,24.5
Onion Dry (Indian),2013-08-18,Kg,80.0,85.0,82.5
Onion Green,2013-08-18,Kg,55.0,60.0,57.5
Tomato Big(Nepali),2013-08-19,Kg,55.0,60.0,57.5
Tomato Small(Local),2013-08-19,Kg,35.0,40.0,37.5
Potato Red,2013-08-19,Kg,29.0,30.0,29.5
Potato White,2013-08-19,Kg,24.0,25.0,24.5
Onion Dry (Indian),2013-08-19,Kg,80.0,85.0,82.5
Onion Green,2013-08-19,Kg,55.0,60.0,57.5
Tomato Big(Nepali),2013-08-20,Kg,55.0,60.0,57.5
Tomato Small(Local),2013-08-20,Kg,38.0,42.0,40.0
Potato Red,2013-08-20,Kg,29.0,30.0,29.5
Potato White,2013-08-20,Kg,24.0,25.0,24.5
Onion Dry (Indian),2013-08-20,Kg,80.0,82.0,81.0
Onion Green,2013-08-20,Kg,55.0,60.0,57.5
Tomato Big(Nepali),2013-08-23,Kg,55.0,60.0,57.5
Tomato Small(Local),2013-08-23,Kg,40.0,44.0,42.0
Potato Red,2013-08-23,Kg,30.0,32.0,31.0
Potato White,2013-08-23,Kg,26.0,27.0,26.5
Onion Dry (Indian),2013-08-23,Kg,75.0,80.0,77.5
Onion Green,2013-08-23,Kg,65.0,70.0,67.5
Tomato Big(Nepali),2013-08-25,Kg,45.0,50.0,47.5
Tomato Small(Local),2013-08-25,Kg,30.0,35.0,32.5
Potato Red,2013-08-25,Kg,30.0,32.0,31.0
Potato White,2013-08-25,Kg,26.0,27.0,26.5
Onion Dry (Indian),2013-08-25,Kg,75.0,80.0,77.5
Onion Green,2013-08-25,Kg,60.0,65.0,62.5
Tomato Big(Nepali),2013-08-26,Kg,50.0,55.0,52.5
Tomato Small(Local),2013-08-26,Kg,28.0,32.0,30.0
Potato Red,2013-08-26,Kg,30.0,32.0,31.0
Potato White,2013-08-26,Kg,27.0,28.0,27.5
Onion Dry (Indian),2013-08-26,Kg,75.0,80.0,77.5
Onion Green,2013-08-26,Kg,60.0,65.0,62.5
Tomato Big(Nepali),2013-08-27,Kg,40.0,45.0,42.5
Tomato Small(Local),2013-08-27,Kg,28.0,32.0,30.0
Potato Red,2013-08-27,Kg,30.0,32.0,31.0
Potato White,2013-08-27,Kg,26.0,28.0,27.0
Onion Dry (Indian),2013-08-27,Kg,75.0,80.0,77.5
Onion Green,2013-08-27,Kg,55.0,60.0,57.5
Tomato Big(Nepali),2013-08-29,Kg,35.0,40.0,37.5
Tomato Small(Local),2013-08-29,Kg,34.0,38.0,36.0
Potato Red,2013-08-29,Kg,30.0,32.0,31.0
Potato White,2013-08-29,Kg,26.0,27.0,26.5
Onion Dry (Indian),2013-08-29,Kg,80.0,82.0,81.0
Onion Green,2013-08-29,Kg,55.0,60.0,57.5
Tomato Big(Nepali),2013-08-30,Kg,35.0,40.0,37.5
Tomato Small(Local),2013-08-30,Kg,30.0,35.0,32.5
Potato Red,2013-08-30,Kg,30.0,32.0,31.0
Potato White,2013-08-30,Kg,27.0,28.0,27.5
Onion Dry (Indian),2013-08-30,Kg,75.0,80.0,77.5
Onion Green,2013-08-30,Kg,60.0,65.0,62.5
Tomato Big(Nepali),2013-09-01,Kg,35.0,40.0,37.5
Tomato Small(Local),2013-09-01,Kg,30.0,35.0,32.5
Potato Red,2013-09-01,Kg,31.0,32.0,31.5
Potato White,2013-09-01,Kg,26.0,27.0,26.5
Onion Dry (Indian),2013-09-01,Kg,75.0,80.0,77.5
Onion Green,2013-09-01,Kg,55.0,60.0,57.5
Tomato Big(Nepali),2013-09-02,Kg,38.0,42.0,40.0
Tomato Small(Local),2013-09-02,Kg,35.0,40.0,37.5
Potato Red,2013-09-02,Kg,31.0,32.0,31.5
Potato White,2013-09-02,Kg,27.0,28.0,27.5
Onion Dry (Indian),2013-09-02,Kg,78.0,80.0,79.0
Onion Green,2013-09-02,Kg,55.0,60.0,57.5
Tomato Big(Nepali),2013-09-03,Kg,40.0,45.0,42.5
Tomato Small(Local),2013-09-03,Kg,40.0,45.0,42.5
Potato Red,2013-09-03,Kg,30.0,32.0,31.0
Potato White,2013-09-03,Kg,26.0,27.0,26.5
Onion Dry (Indian),2013-09-03,Kg,78.0,82.0,80.0
Onion Green,2013-09-03,Kg,50.0,55.0,52.5
Tomato Big(Nepali),2013-09-04,Kg,40.0,45.0,42.5
Tomato Small(Local),2013-09-04,Kg,40.0,45.0,42.5
Potato Red,2013-09-04,Kg,31.0,32.0,31.5
Potato White,2013-09-04,Kg,26.0,27.0,26.5
Onion Dry (Indian),2013-09-04,Kg,75.0,80.0,77.5
Onion Green,2013-09-04,Kg,50.0,55.0,52.5
Tomato Big(Nepali),2013-09-05,Kg,40.0,45.0,42.5
Tomato Small(Local),2013-09-05,Kg,45.0,50.0,47.5
Potato Red,2013-09-05,Kg,31.0,32.0,31.5
Potato White,2013-09-05,Kg,27.0,28.0,27.5
Onion Dry (Indian),2013-09-05,Kg,80.0,85.0,82.5
Onion Green,2013-09-05,Kg,45.0,50.0,47.5
Tomato Big(Nepali),2013-09-06,Kg,45.0,50.0,47.5
Tomato Small(Local),2013-09-06,Kg,50.0,55.0,52.5
Potato Red,2013-09-06,Kg,32.0,33.0,32.5
Potato White,2013-09-06,Kg,27.0,28.0,27.5
Onion Dry (Indian),2013-09-06,Kg,80.0,85.0,82.5
Onion Green,2013-09-06,Kg,50.0,55.0,52.5
Tomato Big(Nepali),2013-09-08,Kg,42.0,46.0,44.0
Tomato Small(Local),2013-09-08,Kg,50.0,56.0,53.0
Potato Red,2013-09-08,Kg,31.0,32.0,31.5
Potato White,2013-09-08,Kg,27.0,28.0,27.5
Onion Dry (Indian),2013-09-08,Kg,78.0,80.0,79.0
Onion Green,2013-09-08,Kg,45.0,50.0,47.5
Tomato Big(Nepali),2013-09-09,Kg,45.0,50.0,47.5
Tomato Small(Local),2013-09-09,Kg,55.0,60.0,57.5
Potato Red,2013-09-09,Kg,31.0,32.0,31.5
Potato White,2013-09-09,Kg,27.0,28.0,27.5
Onion Dry (Indian),2013-09-09,Kg,80.0,82.0,81.0
Onion Green,2013-09-09,Kg,50.0,55.0,52.5
Tomato Big(Nepali),2013-09-10,Kg,45.0,50.0,47.5
Tomato Small(Local),2013-09-10,Kg,44.0,50.0,47.0
Potato Red,2013-09-10,Kg,31.0,32.0,31.5
Potato White,2013-09-10,Kg,27.0,28.0,27.5
Onion Dry (Indian),2013-09-10,Kg,80.0,82.0,81.0
Onion Green,2013-09-10,Kg,45.0,50.0,47.5
